wp_id,articolo_uuid,id_numero,numero_uuid,action,status,note
8217,,OEL-34,,set,dry,
8223,,OEL-34,,set,dry,
8229,,OEL-34,,set,dry,
8272,,OEL-141,,set,dry,
8277,,OEL-141,,set,dry,
8278,,OEL-17,,set,dry,
8303,,OEL-140,,set,dry,
8307,,OEL-17,,set,dry,
8312,,OEL-17,,set,dry,
8322,,OEL-17,,set,dry,
8325,,OEL-17,,set,dry,
8328,,OEL-17,,set,dry,
8331,,OEL-17,,set,dry,
8358,,OEL-35,,set,dry,
8362,,OEL-35,,set,dry,
8366,,OEL-35,,set,dry,
8369,,OEL-35,,set,dry,
8371,,OEL-35,,set,dry,
8376,,OEL-35,,set,dry,
8382,,OEL-35,,set,dry,
8386,,OEL-35,,set,dry,
8398,,null,,null,dry,
8409,,OEL-36,,set,dry,
9150,,null,,null,dry,
9144,,null,,null,dry,
8417,,null,,null,dry,
8426,,OEL-36,,set,dry,
8428,,OEL-36,,set,dry,
8430,,OEL-36,,set,dry,
8432,,OEL-36,,set,dry,
8440,,OEL-36,,set,dry,
8458,,OEL-36,,set,dry,
8465,,OEL-36,,set,dry,
8479,,OEL-36,,set,dry,
8514,,OEL-128,,set,dry,
8517,,null,,null,dry,
8578,,OEL-37,,set,dry,
8584,,OEL-37,,set,dry,
8586,,OEL-37,,set,dry,
8593,,OEL-37,,set,dry,
8595,,OEL-37,,set,dry,
8599,,OEL-37,,set,dry,
8601,,OEL-37,,set,dry,
8605,,OEL-37,,set,dry,
8612,,OEL-37,,set,dry,
9074,,OEL-42,,set,dry,
8615,,OEL-37,,set,dry,
8656,,null,,null,dry,
8665,,OEL-38,,set,dry,
8697,,OEL-38,,set,dry,
8699,,OEL-38,,set,dry,
9242,,OEL-43,,set,dry,
8712,,OEL-38,,set,dry,
8714,,OEL-38,,set,dry,
8716,,null,,null,dry,
8719,,OEL-38,,set,dry,
8724,,OEL-38,,set,dry,
8727,,OEL-38,,set,dry,
8729,,OEL-38,,set,dry,
8731,,OEL-132,,set,dry,
8738,,OEL-38,,set,dry,
8752,,OEL-39,,set,dry,
8776,,OEL-39,,set,dry,
8784,,OEL-39,,set,dry,
8796,,OEL-39,,set,dry,
8798,,OEL-39,,set,dry,
8803,,OEL-39,,set,dry,
8809,,OEL-39,,set,dry,
8811,,OEL-39,,set,dry,
8816,,OEL-39,,set,dry,
8818,,OEL-39,,set,dry,
8822,,OEL-39,,set,dry,
8829,,OEL-39,,set,dry,
8849,,OEL-40,,set,dry,
8868,,null,,null,dry,
8877,,OEL-40,,set,dry,
8884,,OEL-40,,set,dry,
8887,,OEL-40,,set,dry,
8890,,OEL-40,,set,dry,
8893,,OEL-40,,set,dry,
8900,,OEL-40,,set,dry,
8903,,OEL-40,,set,dry,
8905,,OEL-40,,set,dry,
8908,,OEL-40,,set,dry,
8910,,OEL-40,,set,dry,
8912,,OEL-40,,set,dry,
8914,,OEL-40,,set,dry,
8935,,null,,null,dry,
9147,,null,,null,dry,
8971,,OEL-41,,set,dry,
8981,,OEL-41,,set,dry,
8987,,OEL-41,,set,dry,
8989,,OEL-41,,set,dry,
8996,,OEL-41,,set,dry,
8998,,OEL-41,,set,dry,
9000,,OEL-41,,set,dry,
9002,,OEL-41,,set,dry,
9004,,OEL-41,,set,dry,
9006,,OEL-41,,set,dry,
9007,,OEL-41,,set,dry,
9010,,OEL-41,,set,dry,
9023,,OEL-41,,set,dry,
9061,,OEL-42,,set,dry,
9066,,OEL-42,,set,dry,
9070,,OEL-42,,set,dry,
9072,,OEL-42,,set,dry,
9076,,OEL-42,,set,dry,
9078,,OEL-42,,set,dry,
9081,,OEL-42,,set,dry,
9085,,OEL-42,,set,dry,
9088,,OEL-42,,set,dry,
9091,,OEL-42,,set,dry,
9332,,null,,null,dry,
9099,,OEL-42,,set,dry,
9101,,OEL-42,,set,dry,
9103,,OEL-42,,set,dry,
9112,,OEL-42,,set,dry,
9116,,OEL-42,,set,dry,
9119,,OEL-42,,set,dry,
9126,,OEL-42,,set,dry,
9129,,OEL-42,,set,dry,
9132,,OEL-42,,set,dry,
9186,,OEL-43,,set,dry,
9190,,null,,null,dry,
9244,,OEL-43,,set,dry,
9522,,OEL-45,,set,dry,
9256,,OEL-43,,set,dry,
9258,,OEL-43,,set,dry,
9260,,OEL-43,,set,dry,
9263,,OEL-43,,set,dry,
9265,,OEL-43,,set,dry,
9269,,OEL-43,,set,dry,
9271,,OEL-43,,set,dry,
9274,,OEL-43,,set,dry,
9276,,OEL-43,,set,dry,
9278,,OEL-43,,set,dry,
9282,,OEL-43,,set,dry,
9284,,OEL-43,,set,dry,
9292,,OEL-43,,set,dry,
9370,,OEL-44,,set,dry,
9375,,OEL-44,,set,dry,
9377,,OEL-44,,set,dry,
9380,,OEL-44,,set,dry,
9384,,OEL-44,,set,dry,
9405,,OEL-44,,set,dry,
9409,,OEL-44,,set,dry,
9413,,OEL-44,,set,dry,
9417,,OEL-44,,set,dry,
9419,,OEL-44,,set,dry,
9422,,OEL-44,,set,dry,
9423,,OEL-44,,set,dry,
9438,,OEL-142,,set,dry,
9461,,OEL-142,,set,dry,
9673,,null,,null,dry,
9472,,OEL-142,,set,dry,
9480,,OEL-142,,set,dry,
9491,,OEL-142,,set,dry,
9498,,OEL-142,,set,dry,
9508,,OEL-142,,set,dry,
9547,,OEL-45,,set,dry,
9552,,OEL-45,,set,dry,
