id,slug,lang,categoria_old,categoria_new,action,note
b049aedc-7c41-4a2a-a7b1-1a1553e2e7bf,lelia,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
3cfd8961-a2d6-4f1d-9e8c-ae0b18970ca8,viviana,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
4af29649-19b7-42ef-87fe-1ab61c8388f9,la-pazzia-e-lamore-un-cammino-verso-lanima-del-malato-di-men,it,Cultura,cultura,dry,
6b0acd0d-37ac-411b-a486-f2675af8cf2e,vita-fede-e-luce-n-38,it,Cultura,cultura,dry,
8c93f90f-13cc-4b64-a216-b1d5ed15019b,roberta,it,Fede e Luce,fede-e-luce,dry,
195eacec-a4e0-4ce6-8f39-84e6a8780472,giacomo,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
66a72dde-f6a0-40d7-ad49-3f64cda44a51,chi-aiuta-la-famiglia-gli-specialisti,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
1479cbc4-5b6b-4865-835d-ea9d2a524068,cresima-marco,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
0897e549-3246-4c60-825e-845270615df5,la-vita-esplodera-itinerari-didattico-educativi-per-linsegna,it,Cultura,cultura,dry,
21cb9d4d-5234-4001-aea9-2cf650644cb7,integralita-delleducazione-e-diritto-allo-spirituale,it,Cultura,cultura,dry,
f0474b5a-b0b6-494b-858e-5f191d50f603,maria-la-mia-figlioccia,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
1a054e8a-7339-499f-b1be-27b187efa0f5,rendere-viva-la-messa-unita,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
bd0777c4-a29f-4059-afda-752c7a8f5bed,si-e-aperta-una-finestra-nella-nostra-vita,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
82360036-a043-4b8f-bb86-62a5f453a629,la-prima-comunione-di-flaminia-ci-ha-fatto-crescere,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
c0a1575c-dafd-49e0-917d-3d65caaf51e2,testi-e-sussidi-per-la-catechesi-alle-persone-portatrici-di-,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
5b546ea8-888e-4c63-85c6-c98d406151c4,lasciateli-venire-a-me,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
dc737b40-2de8-4303-a7e5-3cbc9fb18b3f,non-potevo-diventare-suora-perche-non-potevo-leggere,it,Fede e Luce,fede-e-luce,dry,
959e7216-27f8-4688-a67f-664335e06921,dialogo-aperto-n-39,it,Fede e Luce,fede-e-luce,dry,
5153f955-7882-4923-923c-48df765cbec4,vita-di-fede-e-luce-n-40-i-campi-di-fede-e-luce-come-momento,it,Fede e Luce,fede-e-luce,dry,
784defec-962f-42b7-815e-a341cdf6744d,psicopatologia-e-vita-spirituale-sofferenza-e-maturita-umana,it,Cultura,cultura,dry,
506922c1-cda3-423f-9e13-1b797e7bc8ab,essere-padrino-ha-cambiato-la-sua-vita,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
2d55b0b3-8d09-40a8-bf78-b5aad4e7d5c4,perche-nessuno-sia-dimenticato,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
b8a3d1cd-1143-4c01-b0b0-7a3155a8ebf0,temevo-non-accettata-catechista,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
c11bc7c3-9585-45ee-8cc4-ec11a4ae3c76,dialogo-aperto-n-40,it,Fede e Luce,fede-e-luce,dry,
0d3f746b-a82f-4d7f-aaa4-6c940de3bba2,guida-h-fondazione-laboratorio-per-le-politiche-sociali,it,Cultura,cultura,dry,
c6df1807-c36f-46c7-b6bd-b5dc94244ef2,una-sperimentazione-per-lautonomia-delle-persone-disabili,it,Cultura,cultura,dry,
48afff7f-a478-42f6-a747-dbaf07fc7f06,daniela,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
6a456ff6-d37d-43da-95d0-8386aae31551,di-fronte-alle-persone-che-soffrono-fuggire-o-andare-incontr,it,,,skip_null,
b1b87bcc-a10b-43b7-9891-aceacd043fea,non-aver-paura-sono-io-che-ti-guido,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
f0aa94b5-a9b5-4c81-93bf-65ad5bef223f,loro-noi-che-stiamo-in-piedi,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
c0930ddb-29b3-43be-84af-f1819db07571,vita-fede-e-luce-n-40-incontro-alpi-danubio,it,Fede e Luce,fede-e-luce,dry,
f14cb535-0ade-44b1-9fba-a1b2457a18b0,case-della-carita,it,Fede e Luce,fede-e-luce,dry,
6a5ae212-0470-4beb-a429-6f56b8a6e6ed,alessia,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
3180713e-adec-4f3f-97c1-f6e9f27693f4,fermati-un-momento-per-capire,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
226be793-3b5e-4c8c-adea-99a7248162a2,manuale-di-informazione-sullhandicap,it,Cultura,cultura,dry,
aac226dd-83a1-43bd-b4b3-571974f0653b,1992-nasce-il-settore-catechesi-delle-persone-con-handicap,it,Catechesi,,unknown,Valore non mappato: 'Catechesi' — aggiungere a categorie.json o assegnare manualmente
1e6bde7e-707c-49b7-908f-456a389e08e9,indice-articoli-per-argomenti,it,Fede e Luce,fede-e-luce,dry,
7f68191d-1003-4a81-9ea5-fb31c84edf36,un-laboratorio-chiamato-lalveare,it,Fede e Luce,fede-e-luce,dry,
c341a46f-faa6-42e7-83d8-66a73462f281,lhandicappato-mentale-adulto,it,Cultura,cultura,dry,
2f68e703-bd44-4ee2-91b4-a6fb216b4491,vita-fede-e-luce-n-41,it,Fede e Luce,fede-e-luce,dry,
69cf9583-2784-4f41-a7f7-ea6c3dcb869e,il-bambino-magico,it,Cultura,cultura,dry,
e8dff20e-3598-480f-beb0-016dd288c03a,francesca-e-sabrina,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
1f2a3437-11f5-4a77-8453-eaccef4b0ad3,proibito-amarlo,it,Fede e Luce,fede-e-luce,dry,
2ddcbae2-6325-462c-96bb-e04648eb1ad3,mio-fratello-nel-suo-guscio,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
2accc805-aea2-43ed-a1df-7e018d809907,un-mondo-che-cambia,it,Fede e Luce,fede-e-luce,dry,
24682a50-ce9e-409d-9e05-c5be68708981,laboratori-storie-di-lavoro-e-di-amicizia,it,Fede e Luce,fede-e-luce,dry,
d222f36f-1e19-4470-93ca-1724282946ca,eravamo-soli-e-siamo-rinati,it,Fede e Luce,fede-e-luce,dry,
