id,slug,titolo,lang_current,lang_detected,action
022c182e-41bb-411f-83cc-40e25bd3b246,fausta,Fausta,it,it,ok_no_change
0237d4e3-92da-4562-a09c-7a60ed4ed133,la-stanza-dellorso-e-dellape-recensione,La stanza dell’orso e dell’ape - Recensione,it,it,ok_no_change
024197d3-b6bc-4155-932a-6e767a1a0261,alto-come-un-vaso-di-gerani-recensione,Alto come un vaso di gerani - Recensione,it,it,ok_no_change
025ac8ca-fe22-4bd5-8e1a-12ce8a178d72,lettera-ai-giovani,Lettera ai giovani,it,it,ok_no_change
026303bc-82c2-457d-ab14-df380ad82b04,la-lettera-del-papa-wojtyla,La lettera del Papa Wojtyła,it,it,ok_no_change
0280a50b-f230-4543-9a9c-0136561bd6e7,autocertificazione-non-basta,Quando non basta firmare un’autocertificazione per uscire,it,it,ok_no_change
029cc311-db14-4c56-8e1b-50c73a79d6f6,il-mio-piede-sinistro-il-film,«Il mio piede sinistro»,it,it,ok_no_change
02ab40b7-a34a-4203-9d62-299120fc9f4d,dalle-un-bacio,Dalle un bacio!,it,it,ok_no_change
02b4030d-9b84-4a5c-af27-309cea2a9671,special-olympics-dove-tutto-e-diverso-da-tutto,"Special Olympics a Sibari, dove tutto è diverso da tutto",it,it,ok_no_change
02b43b29-568f-486f-aa7a-a0b720f1f00c,antonio-nicaso-mondadori,La mafia spiegata ai ragazzi - Recensione,it,it,ok_no_change
02b6d565-e218-4374-a508-c0091b091d98,quel-regalo-immenso-chiamato-vaccino,Quel regalo immenso chiamato vaccino,it,it,ok_no_change
02bbc330-85fd-4ece-984b-6fd40292d3eb,la-cinquataseiesima-colonna-uno-strumento-concreto-di-autofo,La cinquataseiesima colonna - Uno strumento concreto di autoformazione,it,it,ok_no_change
02cd4eca-7b7e-4d69-abe2-b33da28abe4e,tra-lacquario-e-loceano,Tra l'acquario e l'oceano,it,it,ok_no_change
02f5e0bc-b6de-4889-86a8-5fadfda3c936,special-olympics-2018,Special Olympics invernali 2018: al via dal 18 marzo,it,it,ok_no_change
